file_name,total_sentences,avg_confidence,top3_description_types
bible_BKR_1J.txt,40,0.56,prophetic_oracle(9) > divine_speech(6) > narrative_event(6)
bible_BKR_1K.txt,40,0.543,narrative_event(9) > covenant_formula(8) > prophetic_oracle(5)
bible_BKR_1Kr.txt,40,0.585,narrative_event(10) > divine_speech(9) > prophetic_oracle(5)
bible_BKR_1P.txt,40,0.577,divine_speech(11) > legal_injunction(7) > narrative_event(6)
bible_BKR_1Pa.txt,40,0.576,divine_speech(9) > legal_injunction(8) > doxological_praise(7)
bible_BKR_1S.txt,40,0.601,divine_speech(7) > doxological_praise(7) > narrative_event(5)
bible_BKR_1Te.txt,40,0.604,narrative_event(8) > wisdom_saying(7) > legal_injunction(6)
bible_BKR_1Tm.txt,40,0.565,divine_speech(11) > doxological_praise(6) > prophetic_oracle(6)
bible_BKR_2J.txt,13,0.595,legal_injunction(2) > covenant_formula(2) > divine_speech(2)
bible_BKR_2K.txt,40,0.546,narrative_event(7) > doxological_praise(6) > covenant_formula(6)
bible_BKR_2Kr.txt,40,0.575,divine_speech(8) > doxological_praise(7) > prophetic_oracle(6)
bible_BKR_2P.txt,40,0.586,prophetic_oracle(9) > wisdom_saying(5) > narrative_event(5)
bible_BKR_2Pa.txt,40,0.592,prophetic_oracle(9) > legal_injunction(7) > divine_speech(7)
bible_BKR_2S.txt,40,0.571,prophetic_oracle(10) > divine_speech(9) > legal_injunction(6)
bible_BKR_2Te.txt,40,0.578,divine_speech(10) > legal_injunction(8) > narrative_event(6)
bible_BKR_2Tm.txt,40,0.552,divine_speech(8) > wisdom_saying(6) > prophetic_oracle(6)
bible_BKR_3J.txt,15,0.596,prophetic_oracle(3) > divine_speech(3) > doxological_praise(3)
bible_BKR_Abd.txt,21,0.581,divine_speech(5) > prophetic_oracle(4) > legal_injunction(4)
bible_BKR_Abk.txt,40,0.583,prophetic_oracle(12) > legal_injunction(6) > divine_speech(5)
bible_BKR_Ag.txt,38,0.606,legal_injunction(9) > divine_speech(7) > prophetic_oracle(6)
bible_BKR_Am.txt,40,0.576,narrative_event(9) > divine_speech(8) > prophetic_oracle(5)
bible_BKR_Da.txt,40,0.544,divine_speech(11) > narrative_event(8) > prophetic_oracle(5)
bible_BKR_Dt.txt,40,0.545,legal_injunction(10) > divine_speech(8) > lament(5)
bible_BKR_Ef.txt,40,0.561,divine_speech(9) > narrative_event(7) > lament(4)
bible_BKR_Est.txt,40,0.545,divine_speech(9) > narrative_event(8) > legal_injunction(7)
bible_BKR_Ex.txt,40,0.558,prophetic_oracle(10) > narrative_event(7) > legal_injunction(5)
bible_BKR_Ez.txt,40,0.568,prophetic_oracle(10) > narrative_event(8) > blessing_formula(8)
bible_BKR_Ezd.txt,40,0.571,divine_speech(11) > wisdom_saying(6) > narrative_event(4)
bible_BKR_Fm.txt,25,0.547,divine_speech(5) > prophetic_oracle(4) > doxological_praise(4)
bible_BKR_Fp.txt,40,0.619,prophetic_oracle(9) > narrative_event(7) > legal_injunction(7)
bible_BKR_Ga.txt,40,0.625,doxological_praise(7) > divine_speech(7) > legal_injunction(6)
bible_BKR_Gn.txt,40,0.593,divine_speech(10) > prophetic_oracle(5) > blessing_formula(5)
bible_BKR_Iz.txt,40,0.555,narrative_event(8) > divine_speech(6) > doxological_praise(5)
bible_BKR_J.txt,40,0.575,narrative_event(7) > divine_speech(6) > legal_injunction(6)
bible_BKR_Jb.txt,40,0.6,narrative_event(9) > divine_speech(9) > prophetic_oracle(7)
bible_BKR_Jk.txt,40,0.605,divine_speech(10) > narrative_event(7) > prophetic_oracle(7)
bible_BKR_Jl.txt,40,0.599,legal_injunction(11) > narrative_event(10) > divine_speech(8)
bible_BKR_Jon.txt,40,0.567,divine_speech(8) > legal_injunction(7) > prophetic_oracle(6)
bible_BKR_Joz.txt,40,0.595,doxological_praise(7) > divine_speech(6) > narrative_event(5)
bible_BKR_Jr.txt,40,0.567,divine_speech(8) > prophetic_oracle(7) > legal_injunction(6)
bible_BKR_Ju.txt,25,0.571,divine_speech(5) > covenant_formula(4) > narrative_event(4)
bible_BKR_Kaz.txt,40,0.571,divine_speech(10) > prophetic_oracle(9) > narrative_event(5)
bible_BKR_Ko.txt,40,0.596,divine_speech(7) > legal_injunction(6) > covenant_formula(6)
bible_BKR_L.txt,40,0.578,prophetic_oracle(9) > wisdom_saying(6) > legal_injunction(6)
bible_BKR_Lv.txt,40,0.564,legal_injunction(9) > prophetic_oracle(9) > divine_speech(7)
bible_BKR_Mal.txt,40,0.59,divine_speech(7) > prophetic_oracle(6) > doxological_praise(5)
